Year,Tempo,Duration
2008,124.059,148.74077
2004,80.084,252.99546
2007,77.15,163.63057
1982,92.897,216.842
1998,86.981,312.99873
2004,157.715,218.90567
2005,146.331,580.70159
2004,84.992,283.48036
2001,99.959,135.8624
1982,104.989,146.33751
2000,105.095,208.95302
1981,100.042,154.93179
2004,80.893,146.80771
1973,110.1,199.96689
2007,92.971,319.84281
2008,117.936,258.16771
1963,121.896,207.35955
2001,152.99,258.29832
2004,104.465,158.1971
2004,138.512,461.71383
2007,91.026,235.15383
1978,134.985,219.01016
1995,88.12,295.1571
1973,153.309,266.50077
2000,131.281,199.8624
2005,136.945,253.90975
2007,188.91,237.21751
1986,156.285,186.20036
1986,139.95,311.27465
2005,97.265,286.58893
1995,63.255,180.40118
1998,87.899,324.23138
1999,88.576,100.67546
2003,123.007,207.28118
2007,163.086,92.76036
2009,131.999,465.47546
2002,86.901,140.87791
1997,129.584,190.06649
2009,83.321,225.59302
2001,196.52,209.47546
2001,151.195,155.37587
2007,185.453,122.17424
2003,74.576,229.642
2006,209.141,181.57669
1997,94.161,320.70485
2005,243.981,370.02404
1993,94.557,356.25751
1998,142.453,24.34567
2009,174.424,241.162
2009,99.995,250.8273
2000,174.731,291.10812
1998,123.861,231.75791
2006,118.326,280.86812
2002,142.069,264.41098
2006,190.038,344.68526
1959,117.867,140.38159
1999,108.292,230.00771
1997,212.293,85.9424
2005,188.979,116.92363
1997,108.351,279.97995
2003,81.025,204.77342
2000,131.999,380.08118
2008,86.435,204.9824
2006,124.429,78.21016
1977,159.849,150.59546
1982,203.29,89.23383
1998,112.964,482.21995
2009,108.014,272.97914
2009,136.147,240.79628
1985,121.616,281.05098
1979,87.373,247.97995
1969,130.831,180.08771
1993,187.128,167.00036
1974,102.984,229.58975
2009,130.195,141.19138
2006,94.754,145.3971
2004,87.779,183.97995
1995,159.784,228.46649
2008,143.59,349.80526
2002,121.518,472.39791
2004,132.974,265.32526
2005,151.488,231.18322
2005,137.913,313.7824
1994,173.649,208.03873
2007,129.956,170.1873
2006,177.942,274.85995
1991,136.835,210.02404
1998,117.946,235.25832
1983,97.396,323.18649
1997,156.084,262.47791
2006,177.886,218.06975
1987,100.232,212.53179
1990,92.729,355.63057
2008,146.103,260.5971
2007,110.933,233.42975
1985,124.394,156.62975
2007,87.003,371.87873
1995,87.76,225.95873
2009,114.954,214.5171
2002,148.027,340.53179
2007,169.994,247.24853
1999,86.308,486.97424
2004,152.899,189.17832
1983,87.153,118.33424
1991,113.293,197.79873
2007,152.208,211.59138
1980,118.047,171.85914
1963,129.161,140.2771
1999,150.226,230.05995
2008,145.064,191.99955
2003,116.259,123.68934
1989,146.29,288.02567
1975,90.689,316.81261
1998,113.312,209.6322
2001,137.349,390.63465
1968,115.514,291.29098
1967,104.752,87.58812
1994,123.004,236.2771
2002,131.999,298.1873
2009,111.004,211.25179
1985,115.45,194.53342
1999,199.379,122.40934
2006,169.038,384.67873
2004,139.99,287.50322
1973,107.836,294.47791
1998,107.848,196.5971
1983,110.096,257.30567
1993,161.7,181.39383
2003,196.482,79.64689
1996,131.977,293.92934
2004,129.976,235.12771
2002,163.773,302.2624
1986,141.772,159.79057
2004,91.405,324.51873
2005,200.877,159.89506
1994,122.072,263.18322
1998,103.863,296.30649
2009,150.256,241.65832
1995,169.966,215.40526
2000,180.168,312.2673
2003,133.325,147.722
1988,80.031,262.97424
1982,173.669,122.64444
1993,154.01,274.54649
1996,103.258,291.91791
1984,105.641,237.68771
2004,92.76,168.77669
1999,129.316,302.86322
1998,205.553,140.06812
2001,142.612,283.55873
2006,110.044,292.41424
2010,97.497,158.95465
1978,88.841,159.89506
2006,199.004,208.79628
2004,120.091,160.31302
2005,127.996,608.23465
1991,123.531,169.63873
2007,143.864,205.45261
1998,123.352,312.76363
2003,92.699,405.41995
1964,65.771,136.01914
2003,186.138,231.57506
1962,97.34,212.13995
1967,115.756,175.882
2007,87.712,229.8771
1972,207.544,182.7522
1979,143.497,246.62159
1965,79.181,161.48853
1994,93.657,162.14159
2007,80.012,164.0224
1991,93.975,303.96036
2005,124.734,259.70893
2006,70.875,538.27873
1999,100.252,216.31955
1974,149.394,170.70975
2000,84.751,242.75546
1927,162.496,185.41669
1997,137.476,175.12444
2004,215.0,24.73751
1997,121.988,162.84689
2005,93.044,253.83138
1996,109.96,280.31955
2001,171.918,249.93914
2003,141.002,301.73995
2002,97.169,147.64363
2004,153.667,284.682
2003,150.519,136.30649
1986,195.005,168.93342
2001,159.975,231.33995
1988,115.692,208.32608
2007,96.224,229.85098
2005,84.141,160.96608
